Main Group,Avg. 2020,Jan. 2021,Feb. 2021,Mar. 2021,Apr. 2021,May. 2021,Jun. 2021,Jul. 2021,Aug. 2021,Sep. 2021,Oct. 2021,Nov. 2021,Dec. 2021,Avg. 2021,% Change
Raw materials,93.59,99.29,98.61,99.13,101.51,103.95,106.72,107.03,106.43,106.44,107.10,110.70,109.95,104.74,11.91
Hiring of equipment,101.14,101.57,101.34,101.25,101.33,101.28,101.44,101.71,101.25,101.20,101.98,101.84,101.70,101.49,0.35
Labour cost and wages,131.40,135.56,135.56,137.28,137.28,137.28,139.02,139.02,139.02,139.68,139.68,139.68,140.15,138.26,5.23
General index,103.37,108.31,107.83,108.61,110.26,111.95,114.33,114.56,114.12,114.44,114.94,117.42,116.95,112.81,9.13
Main Group,Avg. 2021,Jan. 2022,Feb. 2022,Mar. 2022,Apr. 2022,May. 2022,Jun. 2022,Jul. 2022,Aug. 2022,Sep. 2022,Oct. 2022,Nov. 2022,Dec. 2022,Avg. 2022,% Change
Raw materials,104.74,109.59,108.95,115.80,117.21,116.65,113.71,112.50,111.28,110.16,112.03,111.70,110.06,112.47,7.38
Hiring of equipment,101.49,102.82,102.50,102.73,103.49,103.61,105.60,106.07,105.67,105.64,105.81,105.63,106.20,104.65,3.11
Labour cost and wages,138.26,140.15,140.15,145.80,145.80,145.80,144.81,144.81,146.39,147.12,147.12,147.12,147.17,145.19,5.01
General index,112.81,116.76,116.30,122.44,123.45,123.06,120.85,120.03,119.53,118.96,120.26,120.02,118.87,120.04,6.41
Main Group,Avg. 2022,Jan. 2023,Feb. 2023,Mar. 2023,Apr. 2023,May. 2023,Jun. 2023,Jul. 2023,Aug. 2023,Sep. 2023,Oct. 2023,Nov. 2023,Dec. 2023,Avg. 2023,% Change
Raw materials,112.47,111.18,111.40,114.00,113.85,112.15,110.35,110.15,108.75,108.29,109.17,110.45,110.02,110.81,-1.47
Hiring of equipment,104.65,106.56,107.02,107.20,107.07,107.02,106.63,106.42,106.84,107.43,107.18,107.32,106.83,106.96,2.21
Labour cost and wages,145.19,147.17,147.17,149.90,149.90,149.90,150.26,150.26,150.26,152.22,152.22,152.22,153.13,150.38,3.58
General index,120.04,119.66,119.83,122.30,122.19,121.01,119.78,119.63,118.68,119.03,119.63,120.52,120.33,120.21,0.14
Main Group,Avg. 2023,Jan. 2024,Feb. 2024,Mar. 2024,Apr. 2024,May. 2024,Jun. 2024,Jul. 2024,Aug. 2024,Sep. 2024,Oct. 2024,Nov. 2024,Dec. 2024,Avg. 2024,% Change
Raw materials,110.81,109.05,108.73,108.13,108.53,109.99,111.11,111.83,112.27,112.13,111.67,111.45,111.24,110.51,-0.27
Hiring of equipment,106.96,107.04,107.27,107.21,107.16,106.80,106.23,106.43,106.63,106.81,106.82,106.83,106.58,106.82,-0.13
Labour cost and wages,150.38,153.13,153.13,153.93,153.93,153.93,154.11,154.11,154.11,155.98,155.98,155.98,155.22,154.46,2.71
General index,120.21,119.66,119.45,119.22,119.49,120.48,121.30,121.83,122.14,122.46,122.13,121.98,121.61,120.98,0.64
